Case,layer_name,MACs,num_cycles,MAC_per_cycle,num_cores,L1_mem,L2_mem,L1_tiling,L2_tiling
Case 2,ReluConvolution4,294912,323905,0.910489,2,64000,512000,9984.0,9984.0
Case 2,ReluConvolution5,27648,101975,0.271125,2,64000,512000,10968.0,10968.0
Case 2,ReluConvolution6,147456,125893,1.17128,2,64000,512000,4416.0,4416.0
Case 2,ReluConvolution7,27648,81756,0.338177,2,64000,512000,6360.0,6360.0
Case 2,ReluConvolution8,294912,243739,1.20995,2,64000,512000,7296.0,7296.0
Case 2,ReluConvolution9,55296,161759,0.341842,2,64000,512000,12720.0,12720.0
Case 2,ReluConvolution10,589824,413602,1.426067,2,64000,512000,11136.0,11136.0
Case 2,ReluConvolution11,13824,59191,0.233549,2,64000,512000,10416.0,10416.0
Case 2,ReluConvolution12,294912,206291,1.429592,2,64000,512000,12288.0,12288.0
Case 2,ReluConvolution13,27648,97287,0.28419,2,64000,512000,16224.0,16224.0
Case 2,ReluConvolution14,589824,380907,1.548472,2,64000,512000,22272.0,22272.0
Case 2,ReluConvolution15,6912,40571,0.170368,2,64000,512000,15072.0,15072.0
Case 2,ReluConvolution16,294912,192601,1.531207,2,64000,512000,15480.0,39552.0
Case 2,ReluConvolution17,0,149989,0.0,2,64000,512000,36032.0,27840.0
Case 2,ReluConvolution18,0,4587474,0.0,2,64000,512000,20840.0,76800.0
Case 2,ReluConvolution19,0,149631,0.0,2,64000,512000,36032.0,27840.0
Case 2,ReluConvolution20,0,4647102,0.0,2,64000,512000,20840.0,76800.0
Case 2,ReluConvolution21,0,148713,0.0,2,64000,512000,36032.0,27840.0
Case 2,ReluConvolution22,0,9442475,0.0,2,64000,512000,20048.0,152832.0
Case 2,ReluPooling23,0,23028,0.0,2,64000,512000,1920.0,1920.0
Case 2,FullyConnected24,7680,8473,0.906409,2,64000,512000,8144.0,8144.0
Case 3,ReluConvolution0,165888,46930,3.534796,8,64000,256000,9960.0,9960.0
Case 3,ReluConvolution1,55296,42250,1.308781,8,64000,256000,14040.0,14040.0
Case 3,ReluConvolution2,147456,30078,4.902453,8,64000,256000,12960.0,12960.0
Case 3,ReluConvolution3,55296,50318,1.098931,8,64000,256000,10860.0,10860.0
Case 3,ReluConvolution4,294912,83874,3.516131,8,64000,256000,9984.0,9984.0
Case 3,ReluConvolution5,27648,31830,0.868614,8,64000,256000,10968.0,10968.0
Case 3,ReluConvolution6,147456,33107,4.453922,8,64000,256000,4416.0,4416.0
Case 3,ReluConvolution7,27648,23165,1.193525,8,64000,256000,6360.0,6360.0
Case 3,ReluConvolution8,294912,63036,4.67847,8,64000,256000,7296.0,7296.0
Case 3,ReluConvolution9,55296,45257,1.221822,8,64000,256000,12720.0,12720.0
Case 3,ReluConvolution10,589824,105833,5.573158,8,64000,256000,11136.0,11136.0
Case 3,ReluConvolution11,13824,18507,0.746961,8,64000,256000,10416.0,10416.0
Case 3,ReluConvolution12,294912,53967,5.464673,8,64000,256000,12288.0,12288.0
Case 3,ReluConvolution13,0,74858,0.0,8,64000,256000,24416.0,16224.0
Case 3,ReluConvolution14,0,1206324,0.0,8,64000,256000,30464.0,22272.0
Case 3,ReluConvolution15,0,24185,0.0,8,64000,256000,23264.0,15072.0
Case 3,ReluConvolution16,0,1222328,0.0,8,64000,256000,23264.0,39552.0
Case 3,ReluConvolution17,0,41217,0.0,8,64000,256000,36032.0,27840.0
Case 3,ReluConvolution18,0,2374761,0.0,8,64000,256000,20840.0,76800.0
Case 3,ReluConvolution19,0,41560,0.0,8,64000,256000,36032.0,27840.0
Case 3,ReluConvolution20,0,2439679,0.0,8,64000,256000,20840.0,76800.0
Case 3,ReluConvolution21,0,38321,0.0,8,64000,256000,4448.0,2400.0
Case 3,ReluConvolution22,0,4859343,0.0,8,64000,256000,16144.0,76032.0
Case 3,ReluPooling23,0,23009,0.0,8,64000,256000,1920.0,1920.0
Case 3,FullyConnected24,0,32476,0.0,8,64000,256000,12496.0,4304.0
Case 3,ReluConvolution0,165888,85494,1.940347,4,64000,256000,9960.0,9960.0
Case 3,ReluConvolution1,55296,74413,0.743096,4,64000,256000,14040.0,14040.0
Case 3,ReluConvolution2,147456,56360,2.616324,4,64000,256000,12960.0,12960.0
Case 3,ReluConvolution3,55296,70735,0.781735,4,64000,256000,10860.0,10860.0
Case 3,ReluConvolution4,294912,163824,1.800176,4,64000,256000,9984.0,9984.0
Case 3,ReluConvolution5,27648,55137,0.501442,4,64000,256000,10968.0,10968.0
Case 3,ReluConvolution6,147456,64032,2.302849,4,64000,256000,4416.0,4416.0
Case 3,ReluConvolution7,27648,42781,0.646268,4,64000,256000,6360.0,6360.0
Case 3,ReluConvolution8,294912,123210,2.393572,4,64000,256000,7296.0,7296.0
Case 3,ReluConvolution9,55296,84042,0.657957,4,64000,256000,12720.0,12720.0
Case 3,ReluConvolution10,589824,208428,2.829869,4,64000,256000,11136.0,11136.0
Case 3,ReluConvolution11,13824,32054,0.431272,4,64000,256000,10416.0,10416.0
Case 3,ReluConvolution12,294912,104625,2.818753,4,64000,256000,12288.0,12288.0
Case 3,ReluConvolution13,0,144296,0.0,4,64000,256000,24416.0,16224.0
Case 3,ReluConvolution14,0,2372976,0.0,4,64000,256000,30464.0,22272.0
Case 3,ReluConvolution15,0,44126,0.0,4,64000,256000,23264.0,15072.0
Case 3,ReluConvolution16,0,1222521,0.0,4,64000,256000,23264.0,39552.0
Case 3,ReluConvolution17,0,78362,0.0,4,64000,256000,36032.0,27840.0
Case 3,ReluConvolution18,0,2374944,0.0,4,64000,256000,20840.0,76800.0
Case 3,ReluConvolution19,0,78594,0.0,4,64000,256000,36032.0,27840.0
Case 3,ReluConvolution20,0,2439631,0.0,4,64000,256000,20840.0,76800.0
Case 3,ReluConvolution21,0,73045,0.0,4,64000,256000,4448.0,2400.0
